location_code,year,sitc,median_rca_norm
AGO,2018,0011,0.0006429394805763655
AGO,2018,0012,0.013091937619673089
AGO,2018,0013,0.0
AGO,2018,0014,0.0
AGO,2018,0015,0.0008316053932024281
AGO,2018,0019,0.002419333761588649
AGO,2018,0111,0.00037204381180488966
AGO,2018,0112,0.0
AGO,2018,0113,0.00039596605177261157
AGO,2018,0114,0.0018734705594729006
AGO,2018,0115,0.0
AGO,2018,0116,5.365927021649952e-05
AGO,2018,0118,0.024034703164452442
AGO,2018,0121,0.0
AGO,2018,0129,0.0400887779428466
AGO,2018,0141,0.0
AGO,2018,0142,0.001634215970855446
AGO,2018,0149,0.0018285533504898144
AGO,2018,0223,0.00037833256781744096
AGO,2018,0224,0.004427915480883893
AGO,2018,0230,0.0006851852431470351
AGO,2018,0240,2.3508044979247966e-05
AGO,2018,0251,0.0031226723725583105
AGO,2018,0252,0.00243907416792305
AGO,2018,0341,0.19597944843489662
AGO,2018,0342,0.23421106856674795
AGO,2018,0343,0.0
AGO,2018,0344,5.9367603321203166e-05
AGO,2018,0350,0.05988768534256461
AGO,2018,0360,0.16759899571654918
AGO,2018,0371,0.0023932003282750025
AGO,2018,0372,0.0405410954957971
AGO,2018,0411,0.003572154308733033
AGO,2018,0412,0.0
AGO,2018,0421,0.004487309177809984
AGO,2018,0422,0.002803249186092871
AGO,2018,0430,0.0
AGO,2018,0440,0.00024415028034663333
AGO,2018,0451,0.0
AGO,2018,0452,0.0
AGO,2018,0459,0.0004229582738484172
AGO,2018,0460,0.23646682968442956
AGO,2018,0470,0.11031818529700443
AGO,2018,0481,0.004701098204458798
AGO,2018,0482,0.01943189245304322
AGO,2018,0483,0.013819325260330084
AGO,2018,0484,0.0011057051037818288
AGO,2018,0488,0.0017425933940274918
AGO,2018,0541,0.01323562474983725
AGO,2018,0542,0.023965559760487365
AGO,2018,0544,0.0005400198890497809
AGO,2018,0545,0.003590031596001131
AGO,2018,0546,0.0023414621091826793
AGO,2018,0548,0.018561448005068315
AGO,2018,0561,0.0024201552811119464
AGO,2018,0564,0.015290805174979327
AGO,2018,0565,0.0004559210966953997
AGO,2018,0571,0.0006884070319446156
AGO,2018,0572,0.00021507938671838644
AGO,2018,0573,0.14067689818375217
AGO,2018,0574,0.0004526069917181741
AGO,2018,0575,0.00010632408943711535
AGO,2018,0576,0.0
AGO,2018,0577,0.00022775570638888798
AGO,2018,0579,0.00256825760777607
AGO,2018,0582,0.0005891286415306007
AGO,2018,0583,0.0
AGO,2018,0585,0.03925619976076328
AGO,2018,0586,0.0005298400629171751
AGO,2018,0589,0.0004022888924509749
AGO,2018,0611,0.02237329765694096
AGO,2018,0612,0.13701549237264415
AGO,2018,0615,0.0
AGO,2018,0616,0.00020472351666828148
AGO,2018,0619,0.0006170363215758368
AGO,2018,0620,0.0015878829443953246
AGO,2018,0711,0.033564026168221295
AGO,2018,0712,0.0004685076455086534
AGO,2018,0721,0.0
AGO,2018,0722,0.0
AGO,2018,0723,0.0
AGO,2018,0730,0.000941163859184746
AGO,2018,0741,0.0008265269423416988
AGO,2018,0742,0.0
AGO,2018,0751,0.00020355241564640192
AGO,2018,0752,0.0008363847272307989
AGO,2018,0811,3.1254956758708374e-05
AGO,2018,0812,0.6632086922898748
AGO,2018,0813,0.0
AGO,2018,0814,0.013857396450385084
AGO,2018,0819,0.00013744442349172825
AGO,2018,0913,0.0
AGO,2018,0914,0.014105171124209448
AGO,2018,0980,0.004453923227415835
AGO,2018,1110,0.04695437674795988
AGO,2018,1121,0.014179968389290809
AGO,2018,1122,0.003380236699420558
AGO,2018,1123,0.14636311289775944
AGO,2018,1124,0.03681829647457102
AGO,2018,1211,0.0
AGO,2018,1212,0.0
AGO,2018,1213,0.0
AGO,2018,1221,0.001419596843223736
AGO,2018,1222,0.004592945655199743
AGO,2018,1223,0.00014915709855711778
AGO,2018,2111,0.006744061142027691
AGO,2018,2112,0.0066262900594720175
AGO,2018,2114,0.0
AGO,2018,2116,0.0
AGO,2018,2117,0.0
AGO,2018,2119,0.0
AGO,2018,2120,0.0024328407489552784
AGO,2018,2221,0.00018095750417346235
AGO,2018,2222,2.3551005704836037e-05
AGO,2018,2223,0.0
AGO,2018,2224,0.0
AGO,2018,2225,0.0
AGO,2018,2226,0.0
AGO,2018,2231,0.0
AGO,2018,2232,0.0
AGO,2018,2234,0.0
AGO,2018,2235,0.0
AGO,2018,2238,0.0
AGO,2018,2239,0.0
AGO,2018,2320,0.0
AGO,2018,2331,0.00021196298341441544
AGO,2018,2332,0.0
AGO,2018,2440,0.0
AGO,2018,2450,0.009413518180822311
AGO,2018,2460,0.09001089683446989
AGO,2018,2471,0.0003310142678226158
AGO,2018,2472,0.46646269507610355
AGO,2018,2479,0.12359441891198109
AGO,2018,2481,0.0
AGO,2018,2482,0.0025560229375599097
AGO,2018,2483,0.22711569025288403
AGO,2018,2511,0.006946255874337115
AGO,2018,2512,0.0
AGO,2018,2516,0.0
AGO,2018,2517,0.0
AGO,2018,2518,0.0
AGO,2018,2519,0.0
AGO,2018,2613,0.0
